AI Shopping Mall,Nupur Tyagiâ„¢,Nice ,Nice pics 
Jazlovedad,,"Am I think only one who realises that turban enhances the featuresFeatures look sharp in turban , I feel. And ,yes.A nice click sir.",Smartness overload
,,,25% Off on all face care products@themancompany https://couponcenter.in/coupons/the-man-companyâ€¦#couponccode #sale #offers#Trending
Jas Brar,"Replying to @AdnanAliKhan555 @HardeepSAhuja22 and 13 others Yeah
A symbol of dignity
Since ages
Gagandeep Singh
@Gagandeep4821
Â·
May 19
Replying to 
@Jasveer73043812
 
@AdnanAliKhan555
 and 13 others
During golden era, dastar used to be associated with uprightness in Punjab.
CouponCenter.in
@CouponCenterIn
Â·
May 19
25% Off on all face care products  
@themancompany
 
https://couponcenter.in/coupons/the-man-company
#couponccode #sale #offers  #Trending
",Replying to @AdnanAliKhan555 @HardeepSAhuja22 and 13 others,25% Off on all face care products@themancompany https://couponcenter.in/coupons/the-man-companyâ€¦#couponccode #sale #offers#Trending
The Man Company,Replying to @Sattu94967722 @HardeepSAhuja22 and 11 others,"#TheManCompany: Buy 1 Get 2 #Free On Perfumes Add any 3 products , 2 Same/Lower Price product will be FreeApply Code:CKB1G3 https://bit.ly/3pOppm3 + Extra 5% Off On Prepaid OrdersFor more offer links, Join #Telegram Channel: https://bit.ly/3rDQO7F",Replying to @AdnanAliKhan555 @HardeepSAhuja22 and 12 others
CouponCenter.in,,Replying to @AdnanAliKhan555 @PunjabkingsGSS and 10 others,YeahA symbol of dignitySince ages
Jas Brar,Replying to @Gagandeep4821 @AdnanAliKhan555 and 13 others,"During golden era, dastar used to be associated with uprightness in Punjab.",Replying to @Jasveer73043812 @AdnanAliKhan555 and 13 others
,"Looking good.
Jas Brar
@Jasveer73043812
Â·
May 19
Replying to 
@AdnanAliKhan555
 
@HardeepSAhuja22
 and 12 others
Am I think only one who realises that turban enhances the features
Features look sharp in turban , I feel. 
And ,yes.
A nice click sir.
Deejay Aulakh
@aulakhmarjaana
Â·
May 19
Replying to 
@AdnanAliKhan555
 
@HardeepSAhuja22
 and 13 others
Smartness overload",,
,"Donâ€™t go for Chand and all the last word Gulabi Pagg thatâ€™s why I chose
The Man Company
@themancompany
Â·
May 18
Replying to 
@ayushyadav2623
 and 
@dealztrendz
Thank you for notifying us. Please DM us your details so that we could connect with you and resolve the concern on priority.
Mayank Rathod
@mayankrrathod
Â·
May 18
#TheManCompany: Buy 1 Get 2 #Free On Perfumes

 Add any 3 products , 2 Same/Lower Price product will be Free 

 Apply Code  :  CKB1G3 

https://bit.ly/3pOppm3

 + Extra 5% Off On Prepaid Orders  

For more offer links, Join #Telegram Channel: https://bit.ly/3rDQO7F",,
,"TheManCompany Loot  : Buy 1 Get 2 Free On Perfumes

 Add any 3 products , 2 Same/Lower Price product will be Free 

 Apply Code  :  CKB1G3 

https://cutt.ly/L6ZGi9n

 + Extra 5% Off On Prepaid Orders
www.tgdeals.in
@tgdealsofficial
Â·
May 18
TheManCompany : Buy 1 Get 2 Free On Perfumes

Add any 3 products , 2 Same/Lower Price product will be Free

Apply Code : CKB1G3

https://linksredirect.com/?cid=53412&source=linkkit&url=https%3A%2F%2Fwww.themancompany.com%2Fcollections%2Fbhuvan-bam-fragrances

+ Extra 5% Off On Prepaid Orders
themancompany.com
Bhuvan Bam Fragrances
DealBee Deals
@DealBeeOfficial
Â·
May 18
TheManCompany : Buy 1 Get 2 Free On Perfumes

Add any 3 products , 2 Same/Lower Price product will be Free

Apply Code : CKB1G3

https://cutt.ly/n6ZDECR

+ Extra 5% Off On Prepaid Orders
Ayush Yadav
@ayushyadav2623
Â·
May 18
If it's free then why they have a different pricing? Why you fooling  your premium customer  
@themancompany
 ?? 
@dealztrendz",,
,"Still Available

TheManCompany Loot : Buy 1 Get 2 Free On Perfumes

Add any 3 products , 2 Same/Lower Price product will be Free

Apply Code : CKB1G3

Link - https://bit.ly/3MfTlib

+ Extra 5% Off On Prepaid Orders
Beslisha Collections
@beslisha16012
Â·
May 17
Get The Man Company EDP Combo @ Rs 449 Worth Rs 1797 only on BuyKaro!

Shop Now!
https://bit.ly/434th0w

#EDP #combooffer #themancompany
The Man Company
@themancompany
Â·
May 17
Replying to 
@Gagan13060979
Please accept our deepest apologies for the inconvenience caused to you.

As per your conversation with our representative, we hope your concern has been addressed.
",,
,"@themancompany
 I ordered Blanc Body Lotion | Shea Butter (200 ML) but received body wash ...I order 1 body was and 1 body lotion but they dilivered both body wash.
I also attached ordered detail.
Bhuvan bam you also brand ambassador of 
@themancompany

Order no 1737392
13-5-2023
The Man Company
@themancompany
Â·
May 17
Replying to 
@Ravi93022765
Hi Ravi,
Thank you for bringing this to our notice.
We are actively working on the same to sort the concern out for you.
TechGlare Deals
@Tech_glareOffl
Â·
May 16
TheManCompany Loot : 

Buy 1 Get 2 Free On Perfumes

Add any 3 products , 2 Same/Lower Price product will be Free

Apply Code : CKB1G3

https://bit.ly/3IdBbMQ
",,
,"Loot  : TheManCompany : Buy 1 Get 2 Free On Perfumes

 Add any 3 products , 2 Same/Lower Price product will be Free 

Apply Code :  CKB1G3 

https://ern.li/OP/gd4lhqcgq6v

+  Extra 5% Off On Prepaid Orders

Leave a comment
Amazing Deals 360Â°
@Amazingdeals360
Â·
May 16
TheManCompany : Buy 1 Get 2 Free On Perfumes

Add any 3 products , 2 Same/Lower Price product will be Free

Apply Code : CKB1G3

https://bit.ly/41Er62E

+ Extra 5% Off On Prepaid Orders
Affiliate Marketer PAWAN ğŸ‘‘ î¨€
@IamRealChampion
Â·
May 16
#NTRBirthdayCDP
JoinWhatsAppGroup: https://chat.whatsapp.com/BZYRBfGLmkKJw7TyGbnGFo
ğŸ”JoinTelegram@RealShoppingDeals
TheManCompany : BEST : Pack Of 3 Men's Perfumes @ â‚¹749 + Free Shipping.

https://bit.ly/41H1ty9

Use Code : CKB1G3

â˜… Open Above Link > Add Any 3 To Cart > Apply
",,
,"âœ… TheManCompany Loot : Buy 1 Get 2 Free On Perfumes

â˜…Add any 3 products , 2 Same/Lower Price product will be Free

Apply Code : CKB1G3

https://bit.ly/3MtDb6q

â˜… + Extra 5% Off On Prepaid Orders
Deals Kartâœ¨
@DiscountedDeal4
Â·
May 16
TheManCompany Loot : Buy 1 Get 2 Free On Perfumes

Add any 3 products , 2 Same/Lower Price product will be Free

Apply Code : CKB1G3

Link - https://bit.ly/4326uCf

+ Extra 5% Off On Prepaid Orders
Ecomlootdeals
@Ecomlootdeals
Â·
May 16
TheManCompany Loot : Buy 1 Get 2 Free On Perfumes

Add any 3 products , 2 Same/Lower Price product will be Free

Apply Code : CKB1G3

https://bit.ly/3O8I1qW

+ Extra 5% Off On Prepaid Orders
Best Price-Drop Deals ğŸ”¥
@realcashindia
Â·
May 16
TheManCompany Loot : Buy 1 Get 2 Free On Perfumes

Add any 3 products , 2 Same/Lower Price product will be Free

Apply Code : CKB1G3

https://bit.ly/3Ifgb8E

+ Extra 5% Off On Prepaid Orders
themancompany.com
Bhuvan Bam Fragrances
",,
,"TheManCompany Loot : Buy 1 Get 2 Free On Perfumes

Add any 3 products , 2 Same/Lower Price product will be Free

Apply Code : CKB1G3

https://bit.ly/3o5veuJ

+ Extra 5% Off On Prepaid Orders
Dealzie
@Dealzie_Deals
Â·
May 16
TheManCompany : BEST :  Pack Of 3 Men's Perfumes  @ â‚¹749 + Free Shipping.

 https://cutt.ly/b6SsWcm

 Use Code :  CKB1G3

â˜…  Open Above Link > Add Any 3 To Cart > Apply Above Mentioned Coupon Code & Price Will Reduce.
The Man Company
@themancompany
Â·
May 16
Replying to 
@RutvikC56607139
Hi Rutvik,
Kindly accept our heartfelt apologies for the delivery experience you have had. Rest assured your concern will be resolved.
Please DM us your order details so that we could assist you in the best possible manner.
DealBee Deals
@DealBeeOfficial
Â·
May 16
TheManCompany : BEST : Pack Of 3 Men's Perfumes at â‚¹749 + Free Shipping.

https://bit.ly/3O7Ixp8

Use Code : ADMB1G3

â˜… Open Above Link > Add Any 3 Perfumes worth â‚¹749 To Cart > Apply Above Mentioned Coupon Code & Price Will Reduce.
",,
,"I already spoke with your team through telephone and after my more than 1 hour conversation with them will made me to lodge a complaint on consumer affairs
The Man Company
@themancompany
Â·
May 15
Replying to 
@kuwaranaujawan
Hi Obaid,
Kindly accept our deepest apologies for the experience you had with us.
Please DM us your order details so that we could assist you in the best possible manner.
Obaid Bhombal
@kuwaranaujawan
Â·
May 15
@themancompany
 placed an order more than 15 days ago still haven't received my order.
@Bhuvan_Bam
 tumhare kehne pe gye the inke paas 
@hiteshdhingra
 i understand 
@themancompany
 needs to be built
",,
,"Hi Ravi,
We are deeply sorry for the inconvenience that you have faced.
Kindly DM us your order details so that we could assist you in the best possible way.
RAVIROCZZZ
@RAVIROCKZZZ3
Â·
May 15
@themancompany
 
@jagograhakjago
  worst company donâ€™t buy products from them, they donâ€™t have proper team to resolve the issues happening with the products and orders, so I donâ€™t encourage their products to my friends and viewers plzzzz donâ€™t buy products from the man company.
jawdroppingofferz
@jawdroppingoff
Â·
May 14
LOOT 65% OFF : The Man Company Blanc EDT or Men @ 319 + FREE SHIPPINGâš¡ğŸ”¥

ğŸ”—https://bit.ly/41QiRkd

ğŸ’¥The Man Company Night EDP @ 265 + FREE SHIPPING

ğŸ”—https://bit.ly/41CUXbs

Trusted Site + Free Delivery on Everything

#Themancompany
",,
,"Have you ever noticed that your mother knows so much about you, but you not soo much? In the latest episode of #TheGentlemanShow, we dig deep into this topic. 

Watch Here: https://youtube.com/watch?v=Be1-gdL4vVE

#MothersDay #Podcast #TheManCompany #GentlemanInYou #Trending #TopicalDay
Affiliate Marketer PAWAN ğŸ‘‘ î¨€
@IamRealChampion
Â·
May 13
#KarnatakaElectionResults2023
JoinWhatsAppGroup: https://chat.whatsapp.com/BZYRBfGLmkKJw7TyGbnGFo
ğŸ”JoinTelegram@RealShoppingDeals
TheManCompany : Buy 2 Products 30% Off

Use Code : CKGOG

+ Free EDP Night on orders above 999
++ 5% Off on Prepaid Orders

https://bit.ly/3M4mwEO
The Man Company
@themancompany
Â·
May 13
Replying to 
@HarjotS81253446
 and 
@myntra
Please accept our deepest apology for the inconvenience that this has caused you. Kindly DM us your contact and Order details so that we can resolve your concern at the earliest.
",,
,"Do you ever wonder how much you know your mother? They know everything about you, but do you really know them? It's an interesting thought, isn't it?

@TJhumroo
  

#WeNeedToTalk, stay tuned.

#TheManCompany #GentlemanInYou #Podcast #MothersDay
0:03 / 0:27
Harjot Singh
@HarjotS81253446
Â·
May 13
Kindly do not place any order on 
@themancompany
, I was supposed to get the free face wash as a gift with my order through 
@myntra
 and its been 12 days the issue is not resolved. Worst support team 
@themancompany
 
@myntra
 .
www.tgdeals.in
@tgdealsofficial
Â·
May 13
TheManCompany : Buy 2 Products 30% Off

Use Code : CKGOG

+ Free EDP Night on orders above 999
++ 5% Off on Prepaid Orders

https://linksredirect.com/?cid=53412&source=linkkit&url=https%3A%2F%2Fwww.themancompany.com%2Fpages%2Fgog",,
,"TheManCompany : Buy 2 Products 30% Off

Use Code : CKGOG

+ Free EDP Night on orders above 999
++ 5% Off on Prepaid Orders

https://linksredirect.com/?cid=53412&source=linkkit&url=https%3A%2F%2Fwww.themancompany.com%2Fpages%2Fgog
DealBee Deals
@DealBeeOfficial
Â·
May 13
TheManCompany : Buy 2 Products 30% Off

Use Code : CKGOG

+ Free EDP Night on orders above 999
++ 5% Off on Prepaid Orders

https://cutt.ly/x6m1Bxr
deal offer
@Raj11250558
Â·
May 13
#themancompany : Buy 2 Products 30% Off

Use Code : CKGOG

+ Free EDP Night on orders above 999
++ 5% Off on Prepaid Orders
https://bit.ly/459sr4z

#bestdeals #dealoftheday #shoppingonline",,
,"We sincerely apologise for the hassle you have gone through. This is definitely not the standard of our services . Rest assured, our team diligently working to resolve your concern. We request you to dm us your contact details and let us get back to you.
Affiliate Marketer PAWAN ğŸ‘‘ î¨€
@IamRealChampion
Â·
May 12
#MIvsGT
JoinWhatsAppGroup: https://chat.whatsapp.com/BZYRBfGLmkKJw7TyGbnGFo
ğŸ”JoinTelegram@RealShoppingDeals
ğŸ”¥TheManCompany : De - Tan (Face Pack + Face Gel) + Vit C Face Wash + Anti - Pollution Face Wash @ 454

Use Code : CKGOG

â¬Add Products from the below link

ğŸ‘‰https://bit.ly/3VW3JA8
Show this thread
jawdroppingofferz
@jawdroppingoff
Â·
May 12
LOOT 65% OFF : The Man Company Blanc EDT or Men @ 319 + FREE SHIPPING

ğŸ”—https://bit.ly/3pxTQwG

ğŸ’¥The Man Company Night EDP @ 265 + FREE SHIPPING

ğŸ”—https://bit.ly/42NBSob

#Themancompany
",,
,"We sincerely apologize for the inconvenience caused. In progression to our conversation, your order has been escalated. We request you to allow us 2 working days to ensure the delivery of the order.
XDA LOOT OFFICIAL
@LootXda
Â·
May 12
TheManCompany : Face Pack + Face Gel + Vit C Face Wash + Anti - Pollution Face Wash at â‚¹454

Use Code : CKGOG

Add Both from the below 

https://bit.ly/3VV7kP9
themancompany.com
De-Tan Face Pack | Multani Mitti & Liquorice
De - Tan Face Pack Details A gentleman does not care about the sun, but he sure does care about the suntan. The Man Companyâ€™s De-tan Face Pack is formulated with Multani Mitti and Liquorice to give yo
TechGlare Deals
@Tech_glareOffl
Â·
May 12
ğŸ”¥TheManCompany : Face Pack + Face Gel + Vit C Face Wash + Anti - Pollution Face Wash at Rs.454

Use Code : CKGOG

Add Both from the below 

https://bit.ly/3I3EAhg

https://bit.ly/3M1Jvkd
",,
,"ğŸ”¥TheManCompany : De - Tan (Face Pack + Face Gel) + Vit C Face Wash + Anti - Pollution Face Wash @ 454

Use Code : CKGOG

â¬Add Products from the below link

ğŸ‘‰https://bit.ly/3W1jbLE

ğŸ‘‰https://bit.ly/3O4cean

+ Free EDP Night on orders above 999
++ 5% Off on Prepaid Orders
ğŸ·ï¸Offerdasâ„¢ Daily Deals & Loot Offers
@offerdas
Â·
May 12
ğŸ”¥TheManCompany : De - Tan (Face Pack + Face Gel) + Vit C Face Wash + Anti - Pollution Face Wash @ 454

Use Code : CKGOG

â¬Add Products from the below link

ğŸ‘‰https://bit.ly/41BaIQ9

ğŸ‘‰https://bit.ly/42mi9fr

+ Free EDP Night on orders above 999
++ 5% Off on Prepaid Orders
NP
@nikhilmp507
Â·
May 12
@themancompany
 itâ€™s been 20 days since my order & thereâ€™s no sight of you guys delivering it. Pls cancel & refund the money. Iâ€™ve purchased the product from another brand.
",,
,"Please accept our apologies for any inconvenience caused. We request you to DM us the details of your concern and give us a chance to resolve it in the best possible manner.
The Man Company
@themancompany
Â·
May 11
Replying to 
@AshisJain1104
Please accept our sincere apologies for the inconvenience caused. We request you share your order number via dm and allow us to resolve your concern.
AshisJain
@AshisJain1104
Â·
May 11
Ordered this body spray but this feels like it is duplicate and giving such amount and receiving such items is not worth at all.
@themancompany",,
,"Hi Summa,

We apologize for the hassle you have gone through regarding your order. This certainly not kind of experience we intended you to have. Be rest assured, we will positively resolve your concern within first half tomorrow.
Rohit Raj
@Rohitonweb
Â·
May 11
Replying to 
@maddy_summa
 
@themancompany
 and 
@Bhuvan_Bam
Please send me your order id in DM iâ€™ll get it sorted. Thankyou
Summa
@maddy_summa
Â·
May 11
I did DM
But still no response 
@themancompany
 
@Bhuvan_Bam
 
@Rohitonweb
Show this thread
",,
,"We sincerely apologize for the inconvenience caused to you. Please Dm us your order details and let us get back to you.
Summa
@maddy_summa
Â·
May 11
Replying to 
@maddy_summa
 
@themancompany
 and 2 others
What should I do now
Summa
@maddy_summa
Â·
May 11
Replying to 
@themancompany
 
@Bhuvan_Bam
 and 
@Rohitonweb
I got my product in 10 days
And Got the wrong items
Don't know how to return
No one is replying on insta
No numbe is reachable 
No one is replying of mails
This is how u treat with ur customers ,Seriously?
",,
,"Bought this perfume by 
@themancompany
 with 
@CRED_club
 coins. 

Smells nice for now, don't know how it performs after a few hours. Will anyone please tell? 

Got an amazing offer. It's a great app to use for your financial managements and I live it because I design. #cred #offers
Kundan Kr. ğŸ‡®ğŸ‡³
@kundannnnnn
Â·
May 10
Replying to 
@dealztrendz
The one i ordered few week back is still not dispatched ğŸ¥². Very bad service 
@themancompany
 
@tmc_tweet
The Man Company
@themancompany
Â·
May 10
Replying to 
@dr_sheitan
We apologize for the discomfort you have experienced. The feedback of the incident has been shared with the concern team to ensure such errors are not repeated. We have initiated the refund and it will be credited back to your account in the next 5 business days.
",,
,"Please accept our apologies for the inconvenience caused. We are processing the replacement for Blanc Body Lotion | Shea Butter & Niacinamide, you will get an order confirmation email and message within by today end of day.
The Man Company
@themancompany
Â·
May 10
Replying to 
@YashDesul21
We have tried contacting you on a phone call, however the call went unanswered. Please accept our apologies for the unsatisfactory experience with our services. We request you share a convenient time to connect with you.
The Man Company
@themancompany
Â·
May 10
Replying to 
@veercha99574768
Further to our conversation on call, be rest assured the order has been shipped and moving towards your location. Our team is following up to ensure speedy delivery of your order.
",,
,"heManCompany Trimmer 150 min Runtime @ 399

https://cutt.ly/26gvqLQ

More : https://cutt.ly/G6gvwII
Techinfo99
@Techinfo992
Â·
May 10
TheManCompany Trimmer 150 min Runtime @ 399

https://ift.tt/FKUuCVx

More : https://ift.tt/EC5sHAX
The Deals Room
@TweetTheDeals
Â·
May 10
TheManCompany Trimmer 150 min Runtime 
â‚¹399
http://fkrt.it/e0P6kJNNNN

More : http://fkrt.it/e0ZOxMNNNN
TechGlare De",,
,"NOTE : 5% EXTRA OFF ON PREPAID ORDERS

#Themancompany
Show this thread
veer chauhan
@veercha99574768
Â·
May 9
@themancompany
 How long does it take to deliver an order ?! I ordered on 1st May, it isn't even on it's way yet ! very nice service you guys have. order no. 1725436
Flipkart Big billion day Sale 2022
@Vinayfromindia
Â·
May 9
TheManCompany : 2 x EDP Night (50 ml) 
@524
 

Use Code : DEAL2

https://ift.tt/2BE4oDi

Add 2 products and apply code at checkout

Extended for Today

ğŸ‘†ğŸ»
##iPhone13OnFlipkart #INDvsAUS
#rajusrivastava #Thunivu",,
,"@themancompany
 look what I got instead of my order
Lone Wolf
@dr_sheitan
Â·
May 9
Again received your product like this.. suppose I have made the purchase for gifting it to someone. Will this look good? If you guys don't have the product cancel the order rather than sending used products. 
@themancompany
DealBee Deals
@DealBeeOfficial
Â·
May 8
Loot Deal : TheManCompany EDP Night (50 ml) - 2 QTY at â‚¹498 

Add 2 Quantity : https://cutt.ly/U6uJjQJ

Apply Code : DEAL2

Pay Online to get Extra 10% Discount
",,
,"We apologize for the inconvenience caused. Rest assured the concern has been escalated on high priority to ensure the delivery at the earliest possible. We request you to please allow us time to deliver the order.
The Man Company
@themancompany
Â·
May 7
Replying to 
@anup16795154
In light of our phone call conversation, we hope you concern has been addressed appropriately.
AP
@anup16795154
Â·
May 7
Replying to 
@anup16795154
 and 
@themancompany
Hi Team,

Any update would be highly appreciated..",,
,"ğŸ The Man Company Game of Grooming Sale: Buy 2 Get 25% Off

Link: https://whypayfull.in/the-man-company-game-of-grooming-sale/

#themancompany #grooming #mengrooming
ğŸ·ï¸Offerdasâ„¢ Daily Deals & Loot Offers
@offerdas
Â·
May 6
TheManCompany : Buy 2 or more body products & Get extra 30% OFF + Free Perfume worth 1299 on orders above 1299 + 

Code : CKGOG 

MASTERLINK : https://bit.ly/3nAQc4p

Suggestion :
25% Off on Cleansing Trio (Shampoo + Face Scrub + Body Wash) @ 1310
https://bit.ly/44yna68

25%â€¦
Debanshu Roy Jaat
@DebanshuRoy8
Â·
May 6
@themancompany
 i got what I was searching for a long :) .. But d only complaint I had is make it long lasting",,
,"@themancompany
  I have ordered 3 products on 21 April....but these products is not delivered till date..Courier services they have not called me even once and when I call they are saying that we do not have a delivery boy.
The Man Company
@themancompany
Â·
May 6
The #GentlemanInYou only deserves to be served the finest. 

@Bhuvan_Bam
 
@Rohitonweb
 

#TheManCompany #TMC #ScentOfAGentleman #Blanc #PerfumesForMen #BhuvanBam #BB
nazarbattu
@nazarbattu7
Â·
May 6
I placed order for the man company on cred, without asking for adress app placed the order on random adress. Now there is no option for changing the adress. I calld on custmer care of the man company they refuses too. Where to get help on this. Any leads 
@CRED_club
 
@themancompany
",,
,"Hi team..
The situation is still the same, I don't know what the problem is. It is about 20 days and still not getting a single acknowledgement regarding dispatch the item ..
how many days you people take to dispatch an item??
The Man Company
@themancompany
Â·
May 5
Replying to 
@Ravi93022765
Thanks for highlighting the issue to us. In light of our phone call conversation. We hope your concern has been addressed and resolved appropriately.
Saveora - Coupons, Deals & Cashback Website
@saveoraofficial
Â·
May 5
Make up the mood with the Man Company's refreshing products!ğŸ¤©

Buy 2 & Get 25% off + Earn up to 15% Saveora cashback.

#SaveBig #Saveora #cashback #TheManCompany
The Man Company
",,
,"@themancompany
  Truly amazing service from Miss nairuti  from Infinity mall . Really appreciate â˜ºï¸
The Man Company
@themancompany
Â·
May 5
Replying to 
@dr_sheitan
We sincerely apologize for the inconvenience caused. This is certainly not the way we send our products. The issue has been escalated to the concern team to find our the root cause of the problem. Please allow us time till end of the day and our team will reach out to you.
Lone Wolf
@dr_sheitan
Â·
May 4
This is what I have received 
@themancompany
 is this the way to send products?? Never coming back for another purchase
#TheManCompany
",,
,"@themancompany
 sir i placed order on 29th April but till date no confirmation of dispatch.order id- 1721967
The Man Company
@themancompany
Â·
May 4
Replying to 
@anup16795154
Please accept our apologies for the inconvenience caused. We understand the importance of delivering the order in a timely manner. Therefore, we assure you that our team is diligently working to ensure priority delivery of your order.
AP
@anup16795154
Â·
May 4
Replying to 
@themancompany
Yes.. hope they are addressed .
Because it's the 2nd time when your team addressed the issue I don't know when I will get my product I'm still not getting any tracking id.",,
,"Kindly accept our sincere apologies for the inconvenience caused.
as per your telephonic conversation with our representative, we hope your concern has been addressed.
jawdroppingofferz
@jawdroppingoff
Â·
May 4
TheManCompany : Add 2 x Eau De Parfum | Firewood (30 ML) @ 431

Use Code : Deal1

ğŸ”—https://bit.ly/42pKrFk

Note: Add 2 in the cart Â» Apply the code Â» Get free shipping

#TheManCompany #Perfume
AP
@anup16795154
Â·
May 4
@themancompany
 
Hi Team,
I ordered an item on 17th April but still didn't get my order.
Order Id 1705473
Can you people look into what's going on with my order ..",,
,"The worst service I have ever faced 
@themancompany
Show this thread
The Man Company
@themancompany
Â·
May 2
Why do men often feel uncomfortable talking about grooming? How can men overcome social stigma and embrace self-care? In the latest episode of #TheGentlemanShow, we are discussing #grooming and how thereâ€™s more to it than just soaps. 

Tune in now: https://youtube.com/watch?v=jcDWKFN6OX0
The Man Company
@themancompany
Â·
May 2
*Fingers Crossed*

#ViratKohli #GautamGambhir #IPL #TheManCompany #Cricket #GentlemensGame #Cricket #GentlemanInYou #RCB #BCCI #LSG #LucknowSuperGiants #RoyalChallengersBangalore
",,
,"The Man Company is a very good company, which gives priority to the satisfaction of its customers, even in today's time, there is such a company that thinks about the welfare of the customers, I thank The Man Company from the bottom of my heart.
#themancompany 
@themancompany
The Man Company
@themancompany
Â·
May 1
Dear men, do you groom for yourself? Or do you believe in self-care? #WeNeedToTalk, and we will, with Shrawan Chhetri and Ankush Bahuguna. Stay Tuned.

#TheManCompany #GentlemanInYou #TheGentlemanShow #Podcast #Grooming #PersonalGrooming #Groom #SelfCare
0:05 / 0:19
Shub-hmmmm
@Shubham_B7
Â·
May 1
OK 
@themancompany
 accepting job roles for ads too now! ğŸ«¡ğŸ¤£ğŸ¤£ğŸ¤£
0:01 / 0:13
",,
,"@themancompany
 Hey My order marked delivered but I have received any product neither shared any otp, what kind of scam is this?
Likhith | à²²à²¿à²–à²¿à²¤à³ ğŸ‡®ğŸ‡³ ğŸ’›â™¥ï¸
@likhithramesh
Â·
Apr 30
Tried this in Pantaloons, 
@themancompany
 what were you even thinking of when formulating it? 
It's smells like cloth washing detergent bars like Rin, Surf ğŸ¤¦ğŸ»â€â™‚ï¸
Affiliate Marketer PAWAN ğŸ‘‘ î¨€
@IamRealChampion
Â·
Apr 29
#KKRvsGT
JoinWhatsAppGroup: https://chat.whatsapp.com/L1uoY5MlsNiEqINkcY50bD
ğŸ”JoinTelegram@RealShoppingDeals
LOOT TheManCompany : 86% OFF on EDT Paradise at 250. 

Use Code : LOOT

https://bit.ly/41Ncpeg

*EXTRA â‚¹20 Off On Prepaid Orders.",,
,"TheManCompany Loot :  86% Off On EDT Paradise at 250. 

Use Code :  LOOT

 https://bit.ly/3LDIhMS

 *Extra â‚¹20 Off On Prepaid Orders.
Express Deals
@expressdealsin
Â·
Apr 28
LOOT TheManCompany : 86% OFF on EDT Paradise @ 250

Use Code : LOOT

https://ekaro.in/enkr20230428s24548659

ğŸ‘‰ EXTRA â‚¹20 Off On Prepaid Orders

Buy 2 Qnty @ 400 | Buy 3 Qnty @ 610.
.
Shopping Theraphy
@ShopTheraphy
Â·
Apr 28
TheManCompany:  Perfume #Loot ğŸ’¥

86% Off: Eau De Toilette | Paradis, 50 ml

at Rs.250 ğŸ’¥(Effectively)

ğŸŒŸ Apply Code: LOOT

Link: https://bit.ly/41NgKhN
Best Deals in INDIA
@BestDealsinIND
Â·
Apr 28
TheManCompany:  Perfume #Loot ğŸ’¥

86% Off: Eau De Toilette | Paradis, 50 ml

at Rs.250 ğŸ’¥(Effectively)

ğŸŒŸ Apply Code: LOOT

Link: https://bit.ly/41NgKhN
RainkartIndia
@RainkartIndia
Â·
Apr 28
TheManCompany EDT Paradise perfume at Rs.230/- [86% OFF]  ğŸ‘ŒğŸ‘Œ

ğŸ‘‰ Use Code: LOOT 

Link: https://extp.in/B3RdGp

â¡ï¸ EXTRA â‚¹20 Off On Prepaid Orders &  Effective price will be Rs.229/-
themancompany.com
Eau De Parfum For Men | Perfume For Men |The Man Company
Eau De Parfum For Men - Check out reviews and offers to buy the Eau De Parfum for men online. Scintillating fragrance with exotic, sensual and rich notes.
",,
